ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-001,Anderson County,Texas,67.1,1.7,116,65.4
TX-003,Andrews County,Texas,64.1,2.1,118,61.9
TX-005,Angelina County,Texas,68.4,2.3,124,66.1
TX-007,Aransas County,Texas,72.8,2.4,123,70.3
TX-009,Archer County,Texas,65.8,2.4,122,63.5
TX-011,Armstrong County,Texas,60.8,2.9,125,57.9
TX-013,Atascosa County,Texas,72,2.2,124,69.8
TX-015,Austin County,Texas,71.2,3.2,126,68
TX-017,Bailey County,Texas,59,2,118,57.1
TX-019,Bandera County,Texas,68.8,2.6,127,66.1
TX-021,Bastrop County,Texas,70.1,2.7,126,67.4
TX-023,Baylor County,Texas,66.1,2.7,125,63.4
TX-025,Bee County,Texas,72,1.7,115,70.3
TX-027,Bell County,Texas,68.4,2.7,125,65.7
TX-029,Bexar County,Texas,71.1,2.6,126,68.5
TX-031,Blanco County,Texas,68.4,2.3,124,66.1
TX-033,Borden County,Texas,65,2.1,123,62.9
TX-035,Bosque County,Texas,67.9,2.6,127,65.4
TX-037,Bowie County,Texas,65.5,2.4,125,63.1
TX-039,Brazoria County,Texas,71.7,2.8,125,68.9
TX-041,Brazos County,Texas,69.4,2.3,125,67
TX-043,Brewster County,Texas,66.7,2.2,117,64.6
TX-045,Briscoe County,Texas,61.8,2.5,121,59.3
TX-047,Brooks County,Texas,74.6,2.4,119,72.2
TX-049,Brown County,Texas,67.7,3.3,128,64.4
TX-051,Burleson County,Texas,69.7,2.7,125,67
TX-053,Burnet County,Texas,68.4,2.4,123,66
TX-055,Caldwell County,Texas,70.8,3,126,67.8
TX-057,Calhoun County,Texas,72.2,2.5,122,69.7
TX-059,Callahan County,Texas,66.4,2.7,127,63.7
TX-061,Cameron County,Texas,75.2,1.5,113,73.7
TX-063,Camp County,Texas,65.8,2,118,63.9
TX-065,Carson County,Texas,59.9,3.1,125,56.8
TX-067,Cass County,Texas,65.7,1.6,118,64
TX-069,Castro County,Texas,58.9,2.2,122,56.7
TX-071,Chambers County,Texas,70.3,2,121,68.2
TX-073,Cherokee County,Texas,67.3,1.8,121,65.4
TX-075,Childress County,Texas,64.2,2.9,127,61.3
TX-077,Clay County,Texas,65.5,2.1,122,63.4
TX-079,Cochran County,Texas,59.9,1.9,117,58
TX-081,Coke County,Texas,66.7,2.8,125,63.9
TX-083,Coleman County,Texas,67.3,3.2,128,64.1
TX-085,Collin County,Texas,66.4,2.6,125,63.8
TX-087,Collingsworth County,Texas,62.3,2.6,124,59.8
TX-089,Colorado County,Texas,71.4,3.2,126,68.2
TX-091,Comal County,Texas,69.7,2.4,125,67.3
TX-093,Comanche County,Texas,67.8,3.5,129,64.3
TX-095,Concho County,Texas,67.2,3,126,64.2
TX-097,Cooke County,Texas,65.3,1.9,119,63.4
TX-099,Coryell County,Texas,68,2.6,125,65.4
TX-101,Cottle County,Texas,64.7,2.5,126,62.2
TX-103,Crane County,Texas,67.5,2.7,122,64.8
TX-105,Crockett County,Texas,67.3,2.6,127,64.8
TX-107,Crosby County,Texas,62.6,2.4,124,60.2
TX-109,Culberson County,Texas,63,1.9,116,61.1
TX-111,Dallam County,Texas,55.5,1,94,54.5
TX-113,Dallas County,Texas,67.5,2.2,122,65.3
TX-115,Dawson County,Texas,63.6,1.7,116,61.9
TX-117,Deaf Smith County,Texas,58.4,2.6,124,55.7
TX-119,Delta County,Texas,65.6,2.3,124,63.4
TX-121,Denton County,Texas,66.8,2.3,123,64.5
TX-123,DeWitt County,Texas,71.6,2.5,125,69.1
TX-125,Dickens County,Texas,64.2,2.4,126,61.8
TX-127,Dimmit County,Texas,72.8,2.1,121,70.7
TX-129,Donley County,Texas,61.4,2.6,125,58.8
TX-131,Duval County,Texas,73.5,2.3,120,71.2
TX-133,Eastland County,Texas,66.7,2.9,128,63.7
TX-135,Ector County,Texas,65.5,2.5,119,63
TX-137,Edwards County,Texas,67.9,2.8,127,65.1
TX-139,Ellis County,Texas,67.7,1.9,115,65.8
TX-141,El Paso County,Texas,64.6,2.4,117,62.2
TX-143,Erath County,Texas,68,3.8,129,64.2
TX-145,Falls County,Texas,68.1,2.3,122,65.8
TX-147,Fannin County,Texas,65.6,2.6,126,63
TX-149,Fayette County,Texas,71.1,3.2,126,67.9
TX-151,Fisher County,Texas,66.2,3,127,63.2
TX-153,Floyd County,Texas,60.9,2,121,58.9
TX-155,Foard County,Texas,65.4,2.7,127,62.7
TX-157,Fort Bend County,Texas,71.7,3.1,126,68.6
TX-159,Franklin County,Texas,65.6,2,120,63.6
TX-161,Freestone County,Texas,67.3,1.5,114,65.8
TX-163,Frio County,Texas,72.3,2.6,125,69.7
TX-165,Gaines County,Texas,62.8,2,122,60.9
TX-167,Galveston County,Texas,71.4,2.5,121,68.9
TX-169,Garza County,Texas,64.7,2.4,123,62.2
TX-171,Gillespie County,Texas,67.4,2.5,126,64.9
TX-173,Glasscock County,Texas,65.8,2.7,125,63.2
TX-175,Goliad County,Texas,71.9,2.1,121,69.8
TX-177,Gonzales County,Texas,71.4,2.7,126,68.7
TX-179,Gray County,Texas,60.1,2.8,124,57.3
TX-181,Grayson County,Texas,65.5,2.1,122,63.4
TX-183,Gregg County,Texas,66,1,104,65.1
TX-185,Grimes County,Texas,69.7,2.6,125,67.1
TX-187,Guadalupe County,Texas,70.9,2.6,126,68.3
TX-189,Hale County,Texas,60,1.8,116,58.2
TX-191,Hall County,Texas,63.5,2.7,124,60.9
TX-193,Hamilton County,Texas,67.9,3.1,128,64.7
TX-195,Hansford County,Texas,58.8,2,117,56.8
TX-197,Hardeman County,Texas,64.9,2.8,127,62.1
TX-199,Hardin County,Texas,68.9,2,123,67
TX-201,Harris County,Texas,71.1,2.7,124,68.4
TX-203,Harrison County,Texas,66.1,0.9,104,65.2
TX-205,Hartley County,Texas,56.9,1.5,111,55.4
TX-207,Haskell County,Texas,66.3,2.6,126,63.6
