county,avg_temp,year
Travis County,69,2020
Travis County,68,2021
Travis County,69.3,2022
Travis County,69.9,2023
Travis County,70.8,2024
Tarrant County,66.2,2020
Tarrant County,65.9,2021
Tarrant County,67.5,2022
Tarrant County,67.8,2023
Tarrant County,68.7,2024
Nueces County,74.1,2020
Nueces County,73.4,2021
Nueces County,73.4,2022
Nueces County,74.7,2023
Nueces County,75.4,2024
Harris County,71.3,2020
Harris County,70.6,2021
Harris County,71.1,2022
Harris County,71.8,2023
Harris County,72.4,2024
El Paso County,65.9,2020
El Paso County,65.2,2021
El Paso County,64.6,2022
El Paso County,66.4,2023
El Paso County,67.5,2024
Dallas County,66.5,2020
Dallas County,66.4,2021
Dallas County,67.5,2022
Dallas County,67.6,2023
Dallas County,68.7,2024
Bexar County,70.2,2020
Bexar County,69.4,2021
Bexar County,71.1,2022
Bexar County,71.3,2023
Bexar County,72.3,2024
