ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-001,Anderson County,Texas,67.8,2.4,125,65.4
TX-003,Andrews County,Texas,66.1,4.1,130,61.9
TX-005,Angelina County,Texas,68.9,2.8,129,66.1
TX-007,Aransas County,Texas,74.7,4.4,130,70.3
TX-009,Archer County,Texas,67.2,3.8,130,63.5
TX-011,Armstrong County,Texas,62.6,4.6,130,57.9
TX-013,Atascosa County,Texas,73.2,3.3,130,69.8
TX-015,Austin County,Texas,72.5,4.6,130,68
TX-017,Bailey County,Texas,60.6,3.5,129,57.1
TX-019,Bandera County,Texas,69.7,3.6,130,66.1
TX-021,Bastrop County,Texas,71.8,4.4,130,67.4
TX-023,Baylor County,Texas,67.4,4,130,63.4
TX-025,Bee County,Texas,73.6,3.2,130,70.3
TX-027,Bell County,Texas,69.8,4.1,130,65.7
TX-029,Bexar County,Texas,72.3,3.8,130,68.5
TX-031,Blanco County,Texas,69.8,3.7,130,66.1
TX-033,Borden County,Texas,66.2,3.4,129,62.9
TX-035,Bosque County,Texas,68.7,3.3,130,65.4
TX-037,Bowie County,Texas,66.7,3.6,130,63.1
TX-039,Brazoria County,Texas,72.6,3.6,129,68.9
TX-041,Brazos County,Texas,70.8,3.7,130,67
TX-043,Brewster County,Texas,68.8,4.2,130,64.6
TX-045,Briscoe County,Texas,63.3,4,130,59.3
TX-047,Brooks County,Texas,76.1,3.9,129,72.2
TX-049,Brown County,Texas,68.3,3.9,130,64.4
TX-051,Burleson County,Texas,71.2,4.2,130,67
TX-053,Burnet County,Texas,69.6,3.6,130,66
TX-055,Caldwell County,Texas,72.5,4.7,130,67.8
TX-057,Calhoun County,Texas,73.8,4.1,130,69.7
TX-059,Callahan County,Texas,67.1,3.4,130,63.7
TX-061,Cameron County,Texas,77,3.3,129,73.7
TX-063,Camp County,Texas,67.6,3.7,130,63.9
TX-065,Carson County,Texas,61.8,5,130,56.8
TX-067,Cass County,Texas,67,2.9,130,64
TX-069,Castro County,Texas,60.8,4.1,130,56.7
TX-071,Chambers County,Texas,71.7,3.4,129,68.2
TX-073,Cherokee County,Texas,67.7,2.3,126,65.4
TX-075,Childress County,Texas,65.2,3.9,130,61.3
TX-077,Clay County,Texas,66.9,3.5,130,63.4
TX-079,Cochran County,Texas,61.6,3.6,130,58
TX-081,Coke County,Texas,68,4.1,130,63.9
TX-083,Coleman County,Texas,68,3.9,130,64.1
TX-085,Collin County,Texas,68,4.1,130,63.8
TX-087,Collingsworth County,Texas,63.6,3.9,130,59.8
TX-089,Colorado County,Texas,73,4.8,130,68.2
TX-091,Comal County,Texas,71.2,3.9,130,67.3
TX-093,Comanche County,Texas,68.3,4,130,64.3
TX-095,Concho County,Texas,68.4,4.2,130,64.2
TX-097,Cooke County,Texas,66.8,3.3,130,63.4
TX-099,Coryell County,Texas,69.1,3.6,130,65.4
TX-101,Cottle County,Texas,65.7,3.5,130,62.2
TX-103,Crane County,Texas,69.7,4.9,130,64.8
TX-105,Crockett County,Texas,69.1,4.3,130,64.8
TX-107,Crosby County,Texas,64.2,3.9,130,60.2
TX-109,Culberson County,Texas,65.2,4.1,130,61.1
TX-111,Dallam County,Texas,57.4,2.9,127,54.5
TX-113,Dallas County,Texas,68.7,3.4,130,65.3
TX-115,Dawson County,Texas,65.1,3.2,129,61.9
TX-117,Deaf Smith County,Texas,60,4.3,130,55.7
TX-119,Delta County,Texas,66.7,3.3,129,63.4
TX-121,Denton County,Texas,68.1,3.6,130,64.5
TX-123,DeWitt County,Texas,73.5,4.4,130,69.1
TX-125,Dickens County,Texas,65.4,3.6,130,61.8
TX-127,Dimmit County,Texas,75.5,4.8,130,70.7
TX-129,Donley County,Texas,63,4.2,130,58.8
TX-131,Duval County,Texas,75.2,4,130,71.2
TX-133,Eastland County,Texas,67.3,3.6,130,63.7
TX-135,Ector County,Texas,67.5,4.5,130,63
TX-137,Edwards County,Texas,69.7,4.6,130,65.1
TX-139,Ellis County,Texas,68.7,2.9,130,65.8
TX-141,El Paso County,Texas,67.5,5.2,130,62.2
TX-143,Erath County,Texas,68.5,4.3,130,64.2
TX-145,Falls County,Texas,69.4,3.5,129,65.8
TX-147,Fannin County,Texas,67,3.9,130,63
TX-149,Fayette County,Texas,72.6,4.8,130,67.9
TX-151,Fisher County,Texas,67.2,4,130,63.2
TX-153,Floyd County,Texas,62.5,3.6,130,58.9
TX-155,Foard County,Texas,66.4,3.7,130,62.7
TX-157,Fort Bend County,Texas,72.9,4.3,130,68.6
TX-159,Franklin County,Texas,67,3.4,130,63.6
TX-161,Freestone County,Texas,68.8,3.1,130,65.8
TX-163,Frio County,Texas,73.9,4.2,130,69.7
TX-165,Gaines County,Texas,64.6,3.8,130,60.9
TX-167,Galveston County,Texas,72.5,3.6,129,68.9
TX-169,Garza County,Texas,66.1,3.9,130,62.2
TX-171,Gillespie County,Texas,68.3,3.4,130,64.9
TX-173,Glasscock County,Texas,67.1,3.9,130,63.2
TX-175,Goliad County,Texas,73.6,3.8,130,69.8
TX-177,Gonzales County,Texas,73.4,4.7,130,68.7
TX-179,Gray County,Texas,62.4,5.1,130,57.3
TX-181,Grayson County,Texas,67,3.6,130,63.4
TX-183,Gregg County,Texas,67.4,2.3,126,65.1
TX-185,Grimes County,Texas,70.6,3.5,130,67.1
TX-187,Guadalupe County,Texas,72.6,4.3,130,68.3
TX-189,Hale County,Texas,61.9,3.7,130,58.2
TX-191,Hall County,Texas,64.8,3.9,130,60.9
TX-193,Hamilton County,Texas,68.6,3.8,130,64.7
TX-195,Hansford County,Texas,60.7,3.9,130,56.8
TX-197,Hardeman County,Texas,65.8,3.8,130,62.1
TX-199,Hardin County,Texas,69.9,2.9,129,67
TX-201,Harris County,Texas,72.4,3.9,130,68.4
TX-203,Harrison County,Texas,67.4,2.2,126,65.2
TX-205,Hartley County,Texas,58.7,3.3,130,55.4
TX-207,Haskell County,Texas,67.5,3.9,130,63.6
TX-209,Hays County,Texas,70.7,3.9,130,66.9
TX-211,Hemphill County,Texas,62.4,4.7,130,57.7
TX-213,Henderson County,Texas,67.6,2.6,127,65.1
TX-215,Hidalgo County,Texas,77.4,3.6,130,73.8
TX-217,Hill County,Texas,68.8,3,130,65.8
TX-219,Hockley County,Texas,62.3,3.5,130,58.8
TX-221,Hood County,Texas,68.6,3.6,130,65.1
TX-223,Hopkins County,Texas,66.8,3.3,129,63.5
TX-225,Houston County,Texas,68.4,2.2,126,66.2
TX-227,Howard County,Texas,67,3.6,130,63.4
TX-229,Hudspeth County,Texas,64.8,4.2,130,60.5
TX-231,Hunt County,Texas,67.3,3.9,130,63.5
TX-233,Hutchinson County,Texas,62.6,4.7,130,57.8
TX-235,Irion County,Texas,67.9,4,130,63.9
TX-237,Jack County,Texas,66.8,3.4,128,63.4
TX-239,Jackson County,Texas,73.1,4.1,130,69
TX-241,Jasper County,Texas,68.7,2.6,128,66.1
TX-243,Jeff Davis County,Texas,64.5,4.4,130,60.1
TX-245,Jefferson County,Texas,71.3,3.4,129,68
TX-247,Jim Hogg County,Texas,76.4,4.3,130,72.1
TX-249,Jim Wells County,Texas,75,3.6,130,71.3
TX-251,Johnson County,Texas,68.4,3.1,130,65.3
TX-253,Jones County,Texas,67.3,3.4,129,63.9
TX-255,Karnes County,Texas,73,3.5,130,69.5
TX-257,Kaufman County,Texas,67.9,2.7,130,65.1
TX-259,Kendall County,Texas,69.6,3.5,130,66
TX-261,Kenedy County,Texas,75.9,3.6,129,72.3
TX-263,Kent County,Texas,66.8,3.9,130,62.9
TX-265,Kerr County,Texas,68.1,3.5,130,64.6
TX-267,Kimble County,Texas,68,3.9,130,64.1
TX-269,King County,Texas,66.7,3.8,130,62.8
TX-271,Kinney County,Texas,73.7,4.9,130,68.8
TX-273,Kleberg County,Texas,75.7,4.3,130,71.4
TX-275,Knox County,Texas,67.1,3.8,130,63.3
TX-277,Lamar County,Texas,66.2,3.2,129,63
TX-279,Lamb County,Texas,61.1,3.4,129,57.7
TX-281,Lampasas County,Texas,69,3.5,130,65.4
TX-283,La Salle County,Texas,75.7,4.8,130,70.9
TX-285,Lavaca County,Texas,73.4,4.9,130,68.5
TX-287,Lee County,Texas,71.3,4.3,130,67
TX-289,Leon County,Texas,68.8,2.7,130,66.1
TX-291,Liberty County,Texas,70.9,3.2,129,67.7
TX-293,Limestone County,Texas,69,3.2,130,65.7
TX-295,Lipscomb County,Texas,61.1,4.1,130,57
TX-297,Live Oak County,Texas,73.8,3.2,130,70.6
TX-299,Llano County,Texas,69.8,3.9,130,66
TX-301,Loving County,Texas,68.2,4.6,130,63.5
TX-303,Lubbock County,Texas,63.6,4.3,130,59.3
TX-305,Lynn County,Texas,64.4,3.7,130,60.7
TX-307,McCulloch County,Texas,68.7,4.2,130,64.5
TX-309,McLennan County,Texas,69.1,3.3,129,65.8
TX-311,McMullen County,Texas,74.6,3.9,130,70.7
TX-313,Madison County,Texas,69.5,2.9,129,66.7
TX-315,Marion County,Texas,67,2.2,127,64.8
TX-317,Martin County,Texas,66.4,3.6,130,62.9
TX-319,Mason County,Texas,69,4,130,65
TX-321,Matagorda County,Texas,72.8,3.7,129,69.1
TX-323,Maverick County,Texas,75.4,5,130,70.4
TX-325,Medina County,Texas,72.3,3.9,130,68.3
TX-327,Menard County,Texas,67.8,4.2,130,63.6
TX-329,Midland County,Texas,67.4,4,130,63.3
TX-331,Milam County,Texas,70.3,4,130,66.2
TX-333,Mills County,Texas,68.5,3.8,130,64.7
TX-335,Mitchell County,Texas,67.7,4.2,130,63.5
TX-337,Montague County,Texas,66.7,3.5,130,63.2
TX-339,Montgomery County,Texas,71,3.4,130,67.5
TX-341,Moore County,Texas,60.7,4.1,130,56.6
TX-343,Morris County,Texas,67.5,3.6,130,63.8
TX-345,Motley County,Texas,64.7,3.5,130,61.2
TX-347,Nacogdoches County,Texas,68.2,2.6,128,65.6
TX-349,Navarro County,Texas,69,3.2,130,65.8
TX-351,Newton County,Texas,68.9,2.8,128,66.1
TX-353,Nolan County,Texas,67.1,4.3,130,62.8
TX-355,Nueces County,Texas,75.4,4.2,130,71.2
TX-357,Ochiltree County,Texas,61,4.1,130,56.9
TX-359,Oldham County,Texas,60,3.5,130,56.6
TX-361,Orange County,Texas,70.6,3.2,129,67.4
TX-363,Palo Pinto County,Texas,68.1,3.9,130,64.2
TX-365,Panola County,Texas,67.7,2.3,127,65.4
TX-367,Parker County,Texas,67.9,3.4,130,64.5
TX-369,Parmer County,Texas,60.5,4.4,130,56.1
TX-371,Pecos County,Texas,68.7,4.9,130,63.8
TX-373,Polk County,Texas,69.4,2.7,128,66.7
TX-375,Potter County,Texas,61.5,4.5,130,57
TX-377,Presidio County,Texas,67.9,4.4,130,63.5
TX-379,Rains County,Texas,67.1,3.2,128,63.9
TX-381,Randall County,Texas,61.1,4.5,130,56.6
TX-383,Reagan County,Texas,67.8,4.2,130,63.6
TX-385,Real County,Texas,69.5,4.1,130,65.4
TX-387,Red River County,Texas,66.2,3.5,130,62.7
TX-389,Reeves County,Texas,68.4,4.7,130,63.7
TX-391,Refugio County,Texas,74.1,3.8,130,70.2
TX-393,Roberts County,Texas,62.7,5,130,57.6
TX-395,Robertson County,Texas,69.7,3.4,130,66.3
TX-397,Rockwall County,Texas,68,3.6,130,64.4
TX-399,Runnels County,Texas,68.1,3.9,130,64.2
TX-401,Rusk County,Texas,67.4,2.1,127,65.3
TX-403,Sabine County,Texas,68.1,2.7,127,65.4
TX-405,San Augustine County,Texas,68.1,2.5,127,65.6
TX-407,San Jacinto County,Texas,69.8,2.7,128,67.2
TX-409,San Patricio County,Texas,74.5,3.7,130,70.9
TX-411,San Saba County,Texas,69.2,4.1,130,65.1
TX-413,Schleicher County,Texas,67.6,4,130,63.7
TX-415,Scurry County,Texas,66.7,3.9,130,62.8
TX-417,Shackelford County,Texas,67.6,3.6,130,64
TX-419,Shelby County,Texas,67.8,2.5,127,65.3
TX-421,Sherman County,Texas,59.5,3.5,130,56
TX-423,Smith County,Texas,67,2.4,126,64.7
TX-425,Somervell County,Texas,68.8,3.5,130,65.3
TX-427,Starr County,Texas,77.6,4.1,130,73.4
TX-429,Stephens County,Texas,67.6,3.7,130,63.9
TX-431,Sterling County,Texas,67.5,4.1,130,63.4
TX-433,Stonewall County,Texas,67.3,3.9,130,63.4
TX-435,Sutton County,Texas,68.4,4.2,130,64.1
TX-437,Swisher County,Texas,61.4,4,130,57.5
TX-439,Tarrant County,Texas,68.7,3.4,130,65.3
TX-441,Taylor County,Texas,67.2,3.7,130,63.5
TX-443,Terrell County,Texas,70.5,4.4,130,66.1
TX-445,Terry County,Texas,63.7,3.6,130,60.1
TX-447,Throckmorton County,Texas,67.7,4,130,63.7
TX-449,Titus County,Texas,67.6,4.2,130,63.5
TX-451,Tom Green County,Texas,68.3,3.9,130,64.4
